Item Description,Order Fiscal Week,Quantity,System_Count,numericquarter,Normal_Rate,TrailingAnomaly,TrailingUpperLimit_Lagged,TrailingAnomaly_Lagged,Exceedance_4Week_Streak,Combined_Anomaly_Category
LS8 R4 OLED cable set,202404,1,13942,1,0.00007,0,,0,0,Normal
LS8 R4 OLED cable set,202409,1,13942,1,0.00007,0,,0,0,Normal
LS8 R4 OLED cable set,202410,2,13942,1,0.00014,1,,0,0,Normal
LS8 R4 OLED cable set,202411,1,13942,1,0.00007,0,0.00011,0,0,Normal
LS8 R4 OLED cable set,202414,1,13963,2,0.00007,0,0.00011,0,0,Normal
LS8 R4 OLED cable set,202416,1,13963,2,0.00007,0,0.00011,0,0,Normal
LS8 R4 OLED cable set,202421,1,13963,2,0.00007,0,0.00014,0,0,Normal
LS8 R4 OLED cable set,202427,1,13966,3,0.00007,0,0.00014,0,0,Normal
LS8 R4 OLED cable set,202429,1,13966,3,0.00007,0,0.00007,0,0,Normal
LS8 R4 OLED cable set,202431,2,13966,3,0.00014,1,0.00011,1,0,Single Spike
LS8 R4 OLED cable set,202433,1,13966,3,0.00007,0,0.00007,0,0,Normal
LS8 R4 OLED cable set,202434,3,13966,3,0.00021,1,0.00007,1,0,Single Spike
LS8 R4 OLED cable set,202435,2,13966,3,0.00014,0,0.00007,1,0,Single Spike
LS8 R4 OLED cable set,202439,2,13966,3,0.00014,0,0.00016,0,0,Normal
LS8 R4 OLED cable set,202441,1,13946,4,0.00007,0,0.00023,0,0,Normal
LS8 R4 OLED cable set,202444,1,13946,4,0.00007,0,0.00023,0,0,Normal
LS8 R4 OLED cable set,202447,2,13946,4,0.00014,0,0.00023,0,0,Normal
LS8 R4 OLED cable set,202452,1,13946,4,0.00007,0,0.00024,0,0,Normal
LS8 R4 OLED cable set,202502,2,13935,1,0.00014,0,0.00018,0,0,Normal
LS8 R4 OLED cable set,202504,1,13935,1,0.00007,0,0.00018,0,0,Normal
LS8 R4 OLED cable set,202505,1,13935,1,0.00007,0,0.00018,0,0,Normal
LS8 R4 OLED cable set,202508,1,13935,1,0.00007,0,0.00018,0,0,Normal
LS8 R4 OLED cable set,202510,1,13935,1,0.00007,0,0.00017,0,0,Normal
LS8 R4 OLED cable set,202516,1,13907,2,0.00007,0,0.00014,0,0,Normal
LS8 R4 OLED cable set,202517,1,13907,2,0.00007,0,0.00014,0,0,Normal
LS8 R4 OLED cable set,202520,1,13907,2,0.00007,0,0.00011,0,0,Normal
LS8 R4 OLED cable set,202522,1,13907,2,0.00007,0,0.00011,0,0,Normal
LS8 R4 OLED cable set,202525,1,13907,2,0.00007,0,0.00007,0,0,Normal
LS8 R4 OLED cable set,202526,1,13907,2,0.00007,0,0.00007,0,0,Normal
LS8 R4 OLED cable set,202528,2,11459,3,0.00017,1,0.00007,1,0,Single Spike
LS8 R4 OLED cable set,202530,1,11459,3,0.00009,0,0.00012,0,0,Normal
LS8 R4 OLED cable set,202532,2,11459,3,0.00017,1,0.00012,1,0,Single Spike
LS8 R4 OLED cable set,202534,1,11459,3,0.00009,0,0.00012,0,0,Normal
LS8 R4 OLED cable set,202535,2,11459,3,0.00017,0,0.00017,0,0,Normal
LS8 R4 OLED cable set,202538,1,11459,3,0.00009,0,0.00017,0,0,Normal
LS8 R4 OLED cable set,202540,1,11434,4,0.00009,0,0.00021,0,0,Normal
LS8 R4 OLED cable set,202547,1,11434,4,0.00009,0,0.00020,0,0,Normal
LS8 R4 OLED cable set,202548,1,11434,4,0.00009,0,0.00021,0,0,Normal
LS8 R4 OLED cable set,202550,1,11434,4,0.00009,0,0.00018,0,0,Normal
LS8 R4 OLED cable set,202602,2,11406,1,0.00018,1,0.00009,1,0,Single Spike
LS8 R4 OLED cable set,202603,1,11406,1,0.00009,0,0.00009,1,0,Single Spike
LS8 R4 OLED cable set,202604,1,11406,1,0.00009,0,0.00009,1,1,Anomaly 3 out of 4 Detected
