Item Description,Order Fiscal Week,Quantity,System_Count,numericquarter,Normal_Rate,TrailingAnomaly_Lagged,TrailingUpperLimit_Lagged,TrailingAnomaly_Lagged_Filtered,Quarterly_YoY_Anomaly,Exceedance_4Week_Streak,Combined_Anomaly_Category
XT,202405,1,9654,1,0.0001,0,,0,0,0,Normal
XT,202407,1,9654,1,0.0001,0,,0,0,0,Normal
XT,202408,2,9654,1,0.00021,0,,0,0,0,Normal
XT,202410,2,9654,1,0.00021,0,,0,0,0,Normal
XT,202413,1,9654,1,0.0001,0,0.00017,0,0,0,Normal
XT,202415,1,9972,2,0.0001,0,0.00024,0,0,0,Normal
XT,202417,2,9972,2,0.0002,0,0.00026,0,0,0,Normal
XT,202418,2,9972,2,0.0002,0,0.00026,0,0,0,Normal
XT,202427,1,10195,3,0.0001,0,0.00026,0,0,0,Normal
XT,202428,1,10195,3,0.0001,0,0.00025,0,0,0,Normal
XT,202429,2,10195,3,0.0002,0,0.00025,0,0,0,Normal
XT,202430,1,10195,3,0.0001,0,0.00025,0,0,0,Normal
XT,202432,1,10195,3,0.0001,0,0.00026,0,0,0,Normal
XT,202439,2,10195,3,0.0002,0,0.0002,0,0,0,Normal
XT,202442,1,10491,4,0.0001,0,0.0002,0,0,0,Normal
XT,202444,3,10491,4,0.00029,1,0.0002,1,0,0,Single Spike
XT,202445,1,10491,4,0.0001,0,0.00021,0,0,0,Normal
XT,202446,2,10491,4,0.00019,0,0.00025,0,0,0,Normal
XT,202447,4,10491,4,0.00038,1,0.00022,1,0,0,Single Spike
XT,202448,2,10491,4,0.00019,0,0.00021,0,0,0,Normal
XT,202449,7,10491,4,0.00067,1,0.00022,1,0,0,Single Spike
XT,202450,3,10491,4,0.00029,0,0.00035,0,0,0,Normal
XT,202451,4,10491,4,0.00038,1,0.00033,1,0,0,Single Spike
XT,202452,2,10491,4,0.00019,0,0.00033,0,0,0,Normal
XT,202501,2,10864,1,0.00018,0,0.00032,0,0,0,Normal
XT,202502,5,10864,1,0.00046,1,0.00041,1,1,0,Single Spike
XT,202503,2,10864,1,0.00018,0,0.00039,0,0,0,Normal
XT,202504,2,10864,1,0.00018,0,0.00062,0,0,0,Normal
XT,202505,2,10864,1,0.00018,0,0.0006,0,0,0,Normal
XT,202506,5,10864,1,0.00046,0,0.0006,0,1,0,Single Spike
XT,202507,4,10864,1,0.00037,0,0.0006,0,1,0,Quarterly Anomaly (Out of Range)
XT,202508,5,10864,1,0.00046,0,0.00059,0,1,0,Quarterly Anomaly (Out of Range)
XT,202509,2,10864,1,0.00018,0,0.0006,0,0,0,Normal
