Item Description,Order Fiscal Week,Quantity,System_Count,numericquarter,Normal_Rate,TrailingAnomaly_Lagged,TrailingUpperLimit_Lagged,TrailingAnomaly_Lagged_Filtered,Quarterly_YoY_Anomaly,Exceedance_4Week_Streak,Combined_Anomaly_Category
kkpart,202407,1,9654,1,0.0001,0,,0,0,0,Normal
kkpart,202410,4,9654,1,0.00041,0,,0,0,0,Normal
kkpart,202413,2,9654,1,0.00021,1,0.00017,1,0,0,Single Spike
kkpart,202416,1,9972,2,0.0001,0,0.00017,0,0,0,Normal
kkpart,202417,3,9972,2,0.0003,0,0.00057,0,0,0,Normal
kkpart,202418,2,9972,2,0.0002,0,0.00057,0,0,0,Normal
kkpart,202424,1,9972,2,0.0001,0,0.00047,0,0,0,Normal
kkpart,202425,1,9972,2,0.0001,0,0.00046,0,0,0,Normal
kkpart,202426,1,9972,2,0.0001,0,0.00046,0,0,0,Normal
kkpart,202427,2,10195,3,0.0002,0,0.00046,0,0,0,Normal
kkpart,202428,4,10195,3,0.00039,1,0.00034,1,0,0,Single Spike
kkpart,202429,1,10195,3,0.0001,0,0.00034,0,0,0,Normal
kkpart,202442,1,10491,4,0.0001,0,0.00041,0,0,0,Normal
kkpart,202444,1,10491,4,0.0001,0,0.00047,0,0,0,Normal
kkpart,202446,2,10491,4,0.00019,1,0.00016,0,0,0,Normal
kkpart,202447,4,10491,4,0.00038,0,,0,0,0,Normal
kkpart,202448,3,10491,4,0.00029,0,,0,0,0,Normal
kkpart,202449,10,10491,4,0.00095,1,0.00015,1,0,0,Single Spike
kkpart,202450,3,10491,4,0.00029,1,0.00015,1,0,0,Single Spike
kkpart,202451,2,10491,4,0.00019,1,0.00015,0,0,0,Normal
kkpart,202452,3,10491,4,0.00029,1,0.00015,1,0,1,Anomaly 3 out of 4 Detected
kkpart,202501,2,10864,1,0.00018,0,0.00042,0,0,0,Normal
kkpart,202502,7,10864,1,0.00064,1,0.00043,1,1,0,Single Spike
kkpart,202503,2,10864,1,0.00018,0,0.00043,0,0,0,Normal
kkpart,202504,2,10864,1,0.00018,0,0.00092,0,0,0,Normal
kkpart,202505,10,10864,1,0.00092,1,0.00087,1,1,0,Single Spike
kkpart,202506,7,10864,1,0.00064,0,0.0008,0,1,0,Quarterly Anomaly (Out of Range)
kkpart,202507,4,10864,1,0.00037,0,0.0008,0,0,0,Normal
kkpart,202508,5,10864,1,0.00046,0,0.00077,0,0,0,Normal
kkpart,202509,1,10864,1,0.00009,0,0.00084,0,0,0,Normal
kkpart,202510,4,10864,1,0.00037,0,0.00081,0,0,0,Normal
kkpart,202511,6,10864,1,0.00055,0,0.00094,0,0,0,Normal
