tar_systemid,model_type,log_id,log_seqid,log_timestamp,log_level,log_threadid,log_logspec,log_text,log_filename,log_line,log_hash,log_fevisible,log_userid_psuedonym,log_examcontext_id,log_bootcontext_id,log_timestamp_ts,log_type,dl_load_date,msg_date
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269219,1,2024-07-18 06:43:49.8810000 -05:00,I,1460,ScLogsDatabase,Starting log system,LogManager.cpp,111,42005,1,null,null,1093,43:49.9,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269220,2,2024-07-18 06:43:50.0340000 -05:00,I,1460,StartLoader,******** STARTLAUNCHER **********,StartLoader.cpp,2173,22449,1,null,null,1093,43:50.0,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269221,1,2024-07-18 06:43:49.7790000 -05:00,I,6396,ScLogsDatabase,Starting log system,LogManager.cpp,111,42005,1,null,null,1094,43:49.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269222,1,2024-07-18 06:43:47.9520000 -05:00,I,4064,ScLogsDatabase,Starting log system,LogManager.cpp,111,42005,1,null,null,1094,43:48.0,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269223,1,2024-07-18 06:43:48.0590000 -05:00,I,5184,ScLogsDatabase,Starting log system,LogManager.cpp,111,42005,1,null,null,1094,43:48.1,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269224,1,2024-07-18 06:43:50.6090000 -05:00,I,5080,ScLogsDatabase,Starting log system,LogManager.cpp,111,42005,1,null,null,1094,43:50.6,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269225,2,2024-07-18 06:43:50.7680000 -05:00,I,5080,StartLoader,********* STARTLOADER ***********,StartLoader.cpp,1976,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269226,3,2024-07-18 06:43:50.7680000 -05:00,I,5080,StartLoader,"StartLoader Version: ""V 3.0.1127.130""",StartLoader.cpp,2014,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269227,4,2024-07-18 06:43:50.7690000 -05:00,I,5080,StartLoader,StartLoader.ini: Verbose Mode,StartLoader.cpp,1691,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269228,5,2024-07-18 06:43:50.7690000 -05:00,I,5080,StartLoader,Disabling Run+Right-Click,StartLoader.cpp,759,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269229,6,2024-07-18 06:43:50.8000000 -05:00,I,5080,StartLoader,IsSystemEncryptionSuspended GetSuspendCount() returns UL80070032,StartLoader.cpp,1402,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269230,7,2024-07-18 06:43:50.8090000 -05:00,I,5080,StartLoader,IsPatientArchiveLocked() called,StartLoader.cpp,1299,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269231,8,2024-07-18 06:43:50.8090000 -05:00,I,5080,StartLoader,"Checking LockStatus of ""E:""",StartLoader.cpp,1309,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269232,9,2024-07-18 06:43:50.8140000 -05:00,I,5080,StartLoader,"LockStatus of ""E:"" returned 0",StartLoader.cpp,1317,22449,1,null,null,1094,43:50.8,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269233,1,2024-07-18 06:43:48.3190000 -05:00,I,3240,ScLogsDatabase,Starting log system,LogManager.cpp,111,42005,1,null,null,1094,43:48.3,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269234,3,2024-07-18 06:43:52.9310000 -05:00,I,4284,ScOptionKeyStorage,"Current process is not Echoloader, SW options will not be read from the backplane",../KeyStorage.cpp,535,50083,1,null,null,1094,43:52.9,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269235,2,2024-07-18 06:43:52.9280000 -05:00,I,4284,ScCommon.Sysinfo,Product is 'Radiology:Eagle',../Sysinfo.cpp,53,1936,1,null,null,1094,43:52.9,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269236,1,2024-07-18 06:43:52.7350000 -05:00,I,4284,ScLogsDatabase,Starting log system,LogManager.cpp,111,42005,1,null,null,1094,43:52.7,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269237,4,2024-07-18 06:43:52.9340000 -05:00,I,4284,ScOption,Importing option file: D:/Scanner/target/resources/userdefs/OptionKeys.txt,../Option.cpp,1537,44924,1,null,null,1094,43:52.9,log_LogDb,29:19.3,7/18/2024
00202ULT18,GE_Healthcare_CS_ULS_LOGIQ_E10,1269238,5,2024-07-18 06:43:52.9340000 -05:00,I,4284,ScOption,Writing out option file: D:/Scanner/target/resources/userdefs/OptionKeys.txt:,../Option.cpp,769,48511,1,null,null,1094,43:52.9,log_LogDb,29:19.3,7/18/2024
