Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost,Revenue,Profit
SO1,5/24/2020,Online,USD,19,362,9,8,504.25,360.18,4034.02,3673.84
SO2,2/16/2020,Wholesale,USD,20,334,26,5,551.55,393.96,2757.75,2363.78
SO3,5/30/2020,In-Store,USD,12,21,22,4,253.8,181.29,1015.2,833.92
SO4,1/22/2020,Wholesale,USD,9,112,8,9,330.81,236.3,2977.32,2741.03
SO5,4/24/2020,Wholesale,USD,15,64,23,4,387.92,277.08,1551.67,1274.58
SO6,4/9/2020,Distributor,USD,6,243,14,4,322.87,230.62,1291.47,1060.85
SO7,5/21/2020,In-Store,USD,7,38,33,2,293.17,209.41,586.33,376.93
SO8,3/30/2020,Online,USD,21,188,15,8,273.99,195.71,2191.94,1996.23
SO9,5/5/2020,Wholesale,USD,26,288,28,9,499.79,356.99,4498.11,4141.11
SO10,3/9/2020,Wholesale,USD,19,148,13,1,288.26,205.9,288.26,82.36
SO11,4/26/2020,Online,USD,15,154,47,10,621.18,443.7,6211.83,5768.12
SO12,4/7/2020,Wholesale,USD,10,67,5,2,245.59,175.42,491.18,315.76
SO13,2/3/2020,Wholesale,USD,18,51,25,8,348.32,248.8,2786.58,2537.77
SO14,5/6/2020,In-Store,USD,15,174,43,1,575.95,411.39,575.95,164.56
SO15,1/23/2020,Wholesale,USD,21,18,4,1,383.51,273.94,383.51,109.57
SO16,1/27/2020,Online,USD,24,9,6,8,209.67,149.77,1677.38,1527.62
SO17,5/14/2020,Distributor,USD,21,256,46,1,323.12,230.8,323.12,92.32
SO18,2/14/2020,Wholesale,USD,10,300,18,9,173.69,124.06,1563.21,1439.15
SO19,4/10/2020,In-Store,USD,22,83,24,3,644.2,460.14,1932.59,1472.45
SO20,1/31/2020,Distributor,USD,10,45,24,6,387.17,276.55,2323.05,2046.49
SO21,2/22/2020,Online,USD,21,276,5,8,544.19,388.71,4353.53,3964.82
SO22,3/25/2020,Online,USD,9,316,23,5,380.98,272.13,1904.88,1632.75
SO23,1/31/2020,Distributor,USD,14,268,47,5,542.05,387.18,2710.26,2323.08
SO24,5/14/2020,Distributor,USD,4,356,42,5,261.71,186.94,1308.56,1121.62
SO25,4/12/2020,Online,USD,7,142,24,1,337.5,241.07,337.5,96.43
SO26,4/19/2020,Online,USD,24,243,34,9,370.51,264.65,3334.55,3069.91
SO27,3/17/2020,Wholesale,USD,4,162,1,6,586.31,418.79,3517.84,3099.05
SO28,5/1/2020,Wholesale,USD,3,268,35,2,215.67,154.05,431.34,277.29
SO29,4/12/2020,Distributor,USD,2,250,20,2,340.71,243.36,681.42,438.06
SO30,4/12/2020,Wholesale,USD,18,112,38,5,389.87,278.48,1949.37,1670.89
SO31,1/1/2020,Wholesale,USD,10,66,28,8,566.48,404.63,4531.87,4127.24
SO32,3/13/2020,In-Store,USD,4,275,39,10,285.54,203.95,2855.35,2651.4
SO33,2/25/2020,Distributor,USD,2,58,5,3,225.18,160.84,675.55,514.7
SO34,4/16/2020,Wholesale,USD,17,195,10,5,579.53,413.95,2897.65,2483.7
SO35,5/16/2020,In-Store,USD,6,290,16,6,593.56,423.97,3561.34,3137.37
SO36,1/20/2020,Distributor,USD,2,118,46,1,545.45,389.61,545.45,155.84
SO37,4/8/2020,In-Store,USD,13,180,29,8,551.27,393.77,4410.18,4016.41
SO38,2/29/2020,Wholesale,USD,5,231,3,7,416.98,297.84,2918.83,2620.99
SO39,3/13/2020,Distributor,USD,10,165,44,10,262.33,187.38,2623.26,2435.88
SO40,4/15/2020,In-Store,USD,11,261,6,2,614.08,438.63,1228.16,789.53
SO41,2/12/2020,Distributor,USD,3,167,35,4,239.83,171.31,959.32,788.01
SO42,4/27/2020,In-Store,USD,9,216,14,3,290.22,207.3,870.67,663.37
SO43,4/18/2020,In-Store,USD,24,99,25,3,444.07,317.19,1332.21,1015.01
SO44,1/13/2020,Wholesale,USD,25,151,25,4,288.65,206.18,1154.61,948.43
SO45,1/14/2020,Online,USD,11,48,9,5,180.97,129.26,904.85,775.59
SO46,4/18/2020,In-Store,USD,3,175,7,4,190.49,136.07,761.98,625.91
SO47,1/11/2020,Online,USD,25,38,32,9,194.43,138.88,1749.83,1610.95
SO48,4/17/2020,Online,USD,25,243,17,6,304.31,217.36,1825.84,1608.48
SO49,2/28/2020,Online,USD,25,132,4,5,455.08,325.06,2275.41,1950.35
SO50,3/25/2020,Wholesale,USD,1,32,27,3,534.18,381.56,1602.55,1220.99
SO51,3/31/2020,Wholesale,USD,25,235,19,9,299.54,213.96,2695.87,2481.92
SO52,2/6/2020,Online,USD,5,81,20,8,212.67,151.91,1701.37,1549.46
SO53,4/17/2020,Online,USD,4,163,27,4,184.1,131.5,736.41,604.91
SO54,1/1/2020,In-Store,USD,4,302,17,1,605.04,432.17,605.04,172.87
SO55,2/5/2020,In-Store,USD,19,265,22,1,434.46,310.33,434.46,124.13
SO56,4/8/2020,Distributor,USD,19,133,7,6,393.68,281.2,2362.1,2080.89
SO57,4/26/2020,Online,USD,6,37,42,10,514.02,367.16,5140.24,4773.08
SO58,2/9/2020,Online,USD,4,310,7,9,628.65,449.04,5657.86,5208.83
SO59,3/6/2020,Distributor,USD,8,341,1,3,454.75,324.82,1364.26,1039.44
SO60,3/4/2020,Online,USD,10,62,42,6,184.67,131.91,1108.05,976.14
SO61,4/5/2020,Distributor,USD,9,244,25,9,207.67,148.33,1869.01,1720.67
SO62,3/5/2020,In-Store,USD,20,170,40,2,465.11,332.22,930.23,598
SO63,5/22/2020,In-Store,USD,17,147,20,9,310.43,221.74,2793.88,2572.15
SO64,1/17/2020,Distributor,USD,3,8,23,10,643.7,459.78,6436.96,5977.17
SO65,1/27/2020,In-Store,USD,6,199,30,9,380.69,271.92,3426.25,3154.32
SO66,1/23/2020,Online,USD,9,282,12,6,431.01,307.86,2586.06,2278.2
SO67,5/15/2020,Wholesale,USD,18,339,13,4,586.06,418.62,2344.25,1925.63
SO68,1/17/2020,Online,USD,21,141,42,4,424.1,302.93,1696.38,1393.46
SO69,5/6/2020,Wholesale,USD,15,335,36,1,344.87,246.34,344.87,98.53
SO70,3/16/2020,Online,USD,21,195,1,6,242.6,173.29,1455.61,1282.32
SO71,1/26/2020,Online,USD,20,92,37,5,160.17,114.41,800.87,686.46
SO72,4/5/2020,Wholesale,USD,11,296,16,6,291.35,208.11,1748.09,1539.98
SO73,3/15/2020,Distributor,USD,10,252,40,3,590.59,421.85,1771.76,1349.91
SO74,1/14/2020,Distributor,USD,20,124,32,6,589.28,420.92,3535.69,3114.78
SO75,5/19/2020,Online,USD,3,251,14,6,502.9,359.21,3017.39,2658.18
SO76,1/2/2020,In-Store,USD,1,71,25,1,250.13,178.67,250.13,71.47
SO77,4/19/2020,Distributor,USD,21,259,16,7,383.62,274.01,2685.33,2411.32
SO78,3/22/2020,Distributor,USD,23,361,8,7,323.28,230.92,2262.98,2032.07
SO79,3/5/2020,Wholesale,USD,19,331,9,7,579.85,414.18,4058.95,3644.77
SO80,1/31/2020,Wholesale,USD,14,121,8,6,303.66,216.9,1821.95,1605.05
SO81,2/5/2020,In-Store,USD,22,69,35,9,497.15,355.11,4474.33,4119.22
SO82,1/3/2020,Distributor,USD,16,41,15,10,287.63,205.45,2876.28,2670.83
SO83,1/30/2020,Wholesale,USD,9,12,43,7,398.28,284.48,2787.94,2503.46
SO84,3/22/2020,Online,USD,7,232,33,5,336.25,240.18,1681.24,1441.06
SO85,3/27/2020,Distributor,USD,23,164,12,2,558.02,398.59,1116.04,717.46
SO86,2/2/2020,Distributor,USD,26,39,41,6,255.33,182.38,1531.98,1349.6
SO87,2/5/2020,Distributor,USD,1,365,17,3,169.45,121.03,508.34,387.31
SO88,4/25/2020,Online,USD,4,61,16,2,622.16,444.4,1244.32,799.92
SO89,1/11/2020,Online,USD,20,305,33,8,526.28,375.91,4210.2,3834.29
SO90,3/6/2020,Online,USD,21,84,27,6,502.85,359.18,3017.11,2657.93
SO91,4/14/2020,Online,USD,11,21,15,9,598.29,427.35,5384.59,4957.24
SO92,2/14/2020,In-Store,USD,24,341,19,4,455.67,325.48,1822.68,1497.2
SO93,1/8/2020,In-Store,USD,26,342,39,6,295.89,211.35,1775.35,1564
SO94,1/2/2020,Wholesale,USD,25,5,26,9,502.8,359.15,4525.23,4166.09
SO95,4/5/2020,In-Store,USD,21,252,24,4,292.28,208.77,1169.12,960.35
SO96,4/19/2020,Online,USD,14,125,33,2,413.4,295.29,826.8,531.52
SO97,2/14/2020,Online,USD,2,15,32,4,422.82,302.02,1691.28,1389.27
SO98,5/22/2020,Online,USD,4,332,47,2,246.9,176.36,493.8,317.44
SO99,1/21/2020,In-Store,USD,2,225,20,2,309.6,221.14,619.2,398.05
SO100,3/31/2020,Online,USD,3,10,19,3,232.9,166.35,698.69,532.33
SO101,4/19/2020,Online,USD,8,311,16,7,473.24,338.03,3312.71,2974.68
SO102,4/24/2020,Distributor,USD,22,54,47,7,191.15,136.54,1338.08,1201.54
SO103,4/8/2020,Distributor,USD,4,58,42,5,315.5,225.35,1577.48,1352.13
SO104,3/6/2020,In-Store,USD,22,304,1,9,323.45,231.03,2911.04,2680.01
SO105,2/24/2020,Wholesale,USD,19,143,39,4,503.09,359.35,2012.36,1653.01
SO106,4/15/2020,Distributor,USD,5,341,33,3,324.35,231.68,973.05,741.37
SO107,3/20/2020,Distributor,USD,11,301,20,9,374.95,267.82,3374.59,3106.77
SO108,5/26/2020,Online,USD,5,24,31,10,396.18,282.99,3961.84,3678.85
SO109,3/22/2020,In-Store,USD,8,98,19,6,157.8,112.71,946.81,834.09
SO110,1/12/2020,Wholesale,USD,17,284,35,9,363.72,259.8,3273.52,3013.72
SO111,5/11/2020,Online,USD,18,34,11,3,365.57,261.12,1096.7,835.58
SO112,4/14/2020,Wholesale,USD,16,21,26,7,223.38,159.56,1563.68,1404.12
SO113,2/22/2020,Distributor,USD,10,32,43,3,402.34,287.39,1207.03,919.64
SO114,5/24/2020,Wholesale,USD,13,65,40,3,576.93,412.1,1730.8,1318.7
SO115,4/3/2020,In-Store,USD,7,205,11,9,517.68,369.77,4659.15,4289.38
SO116,4/2/2020,In-Store,USD,5,326,39,1,523.06,373.61,523.06,149.45
SO117,2/20/2020,In-Store,USD,11,60,26,5,366.48,261.77,1832.41,1570.64
SO118,5/26/2020,In-Store,USD,18,182,35,7,224.25,160.18,1569.74,1409.56
SO119,5/10/2020,Online,USD,3,74,16,7,576.8,412,4037.58,3625.58
SO120,2/9/2020,In-Store,USD,14,152,24,4,461.8,329.86,1847.19,1517.34
SO121,3/13/2020,In-Store,USD,22,177,39,3,327.29,233.78,981.87,748.09
SO122,3/21/2020,Distributor,USD,4,36,11,4,635.01,453.58,2540.06,2086.47
SO123,3/6/2020,Distributor,USD,18,362,4,6,594.19,424.42,3565.12,3140.7
SO124,5/25/2020,Distributor,USD,8,199,37,1,292.82,209.16,292.82,83.66
SO125,2/23/2020,Wholesale,USD,11,327,34,8,307.91,219.94,2463.31,2243.37
SO126,2/1/2020,In-Store,USD,26,271,34,2,393.35,280.96,786.7,505.73
SO127,4/20/2020,In-Store,USD,14,257,22,10,339.81,242.72,3398.12,3155.39
SO128,2/22/2020,Distributor,USD,14,270,25,4,612.31,437.36,2449.23,2011.87
SO129,4/4/2020,Online,USD,14,207,8,7,304.59,217.57,2132.16,1914.59
SO130,2/21/2020,Online,USD,10,80,32,6,168.1,120.07,1008.59,888.52
SO131,4/27/2020,In-Store,USD,14,6,45,10,343.45,245.32,3434.45,3189.14
SO132,1/21/2020,Distributor,USD,13,286,3,4,238.01,170.01,952.04,782.04
SO133,4/18/2020,Wholesale,USD,26,256,34,10,638.92,456.37,6389.25,5932.87
SO134,5/22/2020,Distributor,USD,3,94,34,8,153.04,109.31,1224.31,1115
SO135,3/29/2020,In-Store,USD,3,304,43,5,556.07,397.19,2780.35,2383.16
SO136,1/20/2020,Wholesale,USD,17,296,9,3,225.04,160.74,675.12,514.38
SO137,4/29/2020,Online,USD,1,171,28,8,431.37,308.12,3450.99,3142.87
SO138,5/9/2020,Online,USD,26,236,29,7,638.33,455.95,4468.32,4012.37
SO139,4/15/2020,Online,USD,24,305,4,4,639.52,456.8,2558.07,2101.27
SO140,3/12/2020,In-Store,USD,24,203,21,6,491.96,351.4,2951.79,2600.39
SO141,5/21/2020,Online,USD,7,83,35,7,208.05,148.6,1456.32,1307.72
SO142,1/19/2020,In-Store,USD,6,231,32,7,202.22,144.45,1415.57,1271.13
SO143,1/7/2020,Distributor,USD,15,125,24,2,381.36,272.4,762.72,490.32
SO144,2/1/2020,In-Store,USD,7,321,27,9,580.14,414.38,5221.23,4806.85
SO145,4/3/2020,Wholesale,USD,13,353,21,4,624.7,446.21,2498.8,2052.59
SO146,4/6/2020,In-Store,USD,23,206,24,5,541,386.43,2705.02,2318.59
SO147,1/2/2020,Online,USD,21,139,23,8,235.04,167.89,1880.34,1712.45
SO148,5/31/2020,Online,USD,11,191,18,1,538.27,384.48,538.27,153.79
SO149,3/2/2020,Wholesale,USD,4,1,42,7,314.01,224.3,2198.1,1973.8
SO150,1/6/2020,Wholesale,USD,25,283,37,3,402.2,287.29,1206.6,919.32
SO151,4/26/2020,Online,USD,17,367,3,10,482.29,344.49,4822.91,4478.41
SO152,1/25/2020,Distributor,USD,21,50,32,10,429.26,306.61,4292.56,3985.95
SO153,5/16/2020,Online,USD,9,353,9,5,371.1,265.07,1855.49,1590.42
SO154,5/5/2020,In-Store,USD,12,268,22,5,164.04,117.17,820.21,703.04
SO155,5/4/2020,In-Store,USD,6,320,21,6,520.73,371.95,3124.41,2752.45
SO156,5/23/2020,Online,USD,1,198,27,2,463.27,330.91,926.54,595.63
SO157,5/22/2020,Wholesale,USD,1,348,29,10,447.27,319.48,4472.65,4153.18
SO158,4/30/2020,Online,USD,20,154,6,1,528.16,377.25,528.16,150.9
SO159,5/16/2020,In-Store,USD,13,35,45,2,280.81,200.58,561.61,361.04
SO160,1/3/2020,Online,USD,3,86,46,9,254.07,181.48,2286.66,2105.18
SO161,1/10/2020,Online,USD,14,7,46,8,480.04,342.89,3840.35,3497.46
SO162,4/6/2020,Online,USD,7,364,29,10,335.52,239.65,3355.17,3115.51
SO163,5/27/2020,In-Store,USD,5,106,47,10,264.89,189.2,2648.86,2459.66
SO164,2/8/2020,Online,USD,13,64,18,2,204.6,146.14,409.19,263.05
SO165,2/2/2020,In-Store,USD,4,321,16,5,544.44,388.89,2722.21,2333.32
SO166,5/8/2020,Wholesale,USD,9,236,2,8,519.66,371.19,4157.3,3786.11
SO167,4/4/2020,Distributor,USD,9,338,24,3,208.68,149.06,626.04,476.98
SO168,4/23/2020,Wholesale,USD,24,285,41,8,512.78,366.27,4102.23,3735.96
SO169,4/13/2020,Wholesale,USD,5,303,2,2,328.47,234.62,656.93,422.31
SO170,5/10/2020,Online,USD,11,281,34,1,169.13,120.81,169.13,48.32
