tar_systemid,msg_date,DRIVE_C,DRIVE_D,DRIVE_E,DRIVE_V,DRIVE_Z
ZAULS21237322,4/20/2025,55%,76%,85%,100%,71%
ZAULS21237322,4/19/2025,55%,76%,86%,100%,71%
ZAULS21237322,4/18/2025,55%,76%,86%,100%,71%
ZAULS21237322,4/17/2025,55%,76%,86%,100%,71%
ZAULS21237322,4/16/2025,56%,76%,86%,100%,71%
ZAULS21237324,4/28/2025,55%,74%,82%,100%,71%
ZAULS21237324,4/25/2025,55%,74%,82%,100%,71%
ZAULS21237324,4/24/2025,55%,74%,82%,100%,71%
ZAULS21237324,4/23/2025,55%,75%,83%,100%,71%
ZAULS21237324,4/22/2025,55%,75%,83%,100%,71%
ZAULS21237324,4/20/2025,55%,75%,83%,100%,71%
ZAULS21237324,4/19/2025,55%,75%,83%,100%,71%
ZAULS21237324,4/18/2025,55%,72%,83%,100%,71%
ZAULS21237324,4/17/2025,55%,73%,83%,100%,71%
ZAULS21237324,4/16/2025,55%,75%,83%,100%,71%
ZAULS21237327,4/28/2025,54%,57%,40%,100%,71%
ZAULS21237327,4/25/2025,54%,57%,40%,100%,71%
ZAULS21237327,4/24/2025,54%,61%,40%,100%,71%
ZAULS21237327,4/23/2025,54%,58%,40%,100%,71%
ZAULS21237327,4/22/2025,54%,55%,41%,100%,71%
ZAULS21237327,4/17/2025,54%,61%,41%,100%,71%
ZAULS21237327,4/16/2025,54%,56%,41%,100%,71%
ZAULS21335740,4/24/2025,52%,57%,52%,100%,67%
ZAULS21335740,4/23/2025,52%,55%,52%,100%,67%
ZAULS21335740,4/22/2025,52%,62%,53%,100%,67%
ZAULS21335740,4/17/2025,52%,51%,53%,100%,67%
ZAULS21335740,4/16/2025,52%,51%,53%,100%,67%
ZAULS21735469,4/25/2025,56%,71%,98%,100%,73%
ZAULS21735469,4/24/2025,56%,69%,98%,100%,73%
ZAULS21735469,4/23/2025,56%,71%,98%,100%,73%
ZAULS21774690,4/26/2025,55%,53%,27%,100%,73%
ZAULS21774690,4/25/2025,55%,50%,27%,100%,73%
ZAULS21774690,4/24/2025,55%,50%,27%,100%,73%
ZAULS21774690,4/23/2025,55%,50%,27%,100%,73%
ZAULS21774690,4/22/2025,55%,58%,28%,100%,73%
ZAULS21774690,4/21/2025,55%,50%,28%,100%,73%
ZAULS21774690,4/20/2025,55%,50%,28%,100%,73%
ZAULS21774690,4/19/2025,55%,50%,28%,100%,73%
ZAULS21774690,4/18/2025,55%,51%,28%,100%,73%
ZAULS21774690,4/17/2025,55%,51%,28%,100%,73%
ZAULS21774690,4/16/2025,55%,54%,28%,100%,73%
ZAULS23187478,4/22/2025,56%,54%,90%,100%,71%
ZAULS23187478,4/18/2025,56%,52%,90%,100%,71%
ZAULS23187478,4/16/2025,56%,52%,90%,100%,71%
ZAULS23204614,4/27/2025,56%,76%,83%,100%,71%
ZAULS23204614,4/26/2025,56%,74%,83%,100%,71%
ZAULS23204614,4/25/2025,56%,77%,83%,100%,71%
ZAULS23204614,4/24/2025,56%,74%,83%,100%,71%
ZAULS23204614,4/23/2025,56%,74%,84%,100%,71%
ZAULS23204614,4/22/2025,56%,74%,84%,100%,71%
ZAULS23204614,4/21/2025,56%,74%,84%,100%,71%
ZAULS23204614,4/20/2025,56%,74%,84%,100%,71%
ZAULS23204614,4/19/2025,56%,74%,84%,100%,71%
ZAULS23204614,4/18/2025,56%,77%,84%,100%,71%
ZAULS23204614,4/17/2025,56%,74%,84%,100%,71%
ZAULS23204614,4/16/2025,56%,74%,84%,100%,71%
ZAULS24449769,4/24/2025,53%,23%,61%,100%,67%
ZAULS24449769,4/23/2025,53%,20%,61%,100%,67%
ZAULS24449769,4/22/2025,53%,21%,61%,100%,67%
ZAULS24449769,4/20/2025,53%,21%,61%,100%,67%
ZAULS24449769,4/18/2025,53%,21%,61%,100%,67%
ZAULS24449769,4/17/2025,53%,22%,61%,100%,67%
ZAULS24449769,4/16/2025,53%,22%,61%,100%,67%
