tar_systemid,msg_date,DRIVE_C,DRIVE_D,DRIVE_E,DRIVE_V,DRIVE_Z
00002ULT54,4/27/2025,58%,77%,49%,100%,66%
00002ULT54,4/24/2025,58%,77%,49%,100%,66%
00002ULT54,4/23/2025,58%,75%,49%,100%,66%
00002ULT54,4/22/2025,58%,77%,50%,100%,66%
00002ULT54,4/21/2025,58%,75%,50%,100%,66%
00002ULT54,4/20/2025,58%,75%,50%,100%,66%
00002ULT54,4/17/2025,58%,77%,51%,100%,66%
00002ULT54,4/16/2025,58%,75%,51%,100%,66%
00013ULT54,4/28/2025,55%,53%,57%,100%,73%
00013ULT54,4/25/2025,55%,50%,57%,100%,73%
00013ULT54,4/24/2025,55%,50%,57%,100%,73%
00013ULT54,4/23/2025,55%,50%,57%,100%,73%
00013ULT54,4/22/2025,55%,56%,57%,100%,73%
00013ULT54,4/17/2025,55%,50%,57%,100%,73%
00013ULT54,4/16/2025,55%,50%,58%,100%,73%
00014ULT50,4/28/2025,54%,53%,39%,100%,71%
00014ULT50,4/26/2025,54%,51%,39%,100%,71%
00014ULT50,4/25/2025,53%,51%,39%,100%,71%
00014ULT50,4/24/2025,53%,51%,39%,100%,71%
00014ULT50,4/23/2025,53%,51%,39%,100%,71%
00014ULT50,4/22/2025,54%,59%,40%,100%,71%
00014ULT50,4/16/2025,54%,59%,41%,100%,71%
00014ULT51,4/25/2025,60%,34%,32%,100%,74%
00014ULT51,4/24/2025,60%,30%,32%,100%,74%
00014ULT51,4/23/2025,60%,30%,33%,100%,74%
00014ULT51,4/22/2025,60%,36%,33%,100%,74%
00014ULT51,4/21/2025,60%,30%,33%,100%,74%
00014ULT51,4/20/2025,60%,30%,33%,100%,74%
00014ULT51,4/19/2025,60%,30%,34%,100%,74%
00014ULT51,4/17/2025,60%,34%,34%,100%,74%
00014ULT51,4/16/2025,60%,30%,34%,100%,74%
00026ULT79,4/28/2025,61%,63%,22%,100%,74%
00026ULT79,4/25/2025,61%,62%,22%,100%,74%
00026ULT79,4/24/2025,61%,60%,22%,100%,74%
00026ULT79,4/23/2025,61%,63%,22%,100%,74%
00026ULT79,4/22/2025,61%,59%,22%,100%,74%
00026ULT79,4/17/2025,61%,56%,22%,100%,74%
00026ULT79,4/16/2025,61%,56%,23%,100%,74%
00026ULT80,4/28/2025,61%,53%,53%,100%,74%
00026ULT80,4/25/2025,61%,53%,53%,100%,74%
00026ULT80,4/24/2025,61%,50%,54%,100%,74%
00026ULT80,4/23/2025,61%,51%,54%,100%,74%
00026ULT80,4/22/2025,60%,58%,54%,100%,74%
00026ULT80,4/17/2025,61%,48%,54%,100%,74%
00026ULT80,4/16/2025,61%,48%,54%,100%,74%
00026ULT81,4/28/2025,61%,59%,37%,100%,74%
00026ULT81,4/25/2025,61%,56%,37%,100%,74%
